,达人,粉丝数,销售额,销售量,商品数,观看人次,人次峰值,地区
5522,胖胖大码女装,276911,56947.1,835,63,55425,532,辽宁省
5523,曦凯优品科技,130134,56842.53,32,58,11859,65,辽宁省
5524,八家大小牛❤️,51349,56841.1,959,21,21143,221,辽宁省
5525,快来请小公举吃肉💍,4896705,56810.12,1365,32,34568,1290,辽宁省
5526,金典女人服饰,101083,56631.0,238,25,39785,181,辽宁省
5527,小脆儿,233131,56455.69,719,47,139135,4731,辽宁省
5528,小凯迪迪卡兹克折扣店,55265,56371.0,129,258,23832,431,辽宁省
5529,王大花大码女装（早晨6点50直播）,181567,56362.09,579,43,33475,232,辽宁省
5530,领美和韵服装,707353,56356.0,190,10,34091,678,辽宁省
5531,北皇海参精选,34210,56338.0,58,7,6881,59,辽宁省
5532,海王男装,12105,56319.8,598,19,26302,134,辽宁省
5533,橡树Plus男装,256099,56303.0,337,45,36166,116,辽宁省
5534,老幺放映室,3748,56088.37,1072,80,309,19,辽宁省
5535,（沈副）沈阳塔湾水产市场,42211,56072.6,631,14,13004,114,辽宁省
5536,古田森女装牛仔服饰,34773,56057.0,330,29,46712,147,辽宁省
5537,艾米妈妈服装承蒙厚爱,1486168,55812.09,942,6,44986,2052,辽宁省
5538,石大妞大米,780905,55770.8,1601,16,49785,689,辽宁省
5539,丽云家大码时尚服饰,122812,55493.0,1342,28,99446,1483,辽宁省
5540,抖潮品原创皮草（每晚八点直播）,99649,55471.39,132,133,8971,80,辽宁省
5541,拿铁笛子,518129,55424.13,1580,38,102680,4066,辽宁省
5542,丹尼斯裤业商行,103664,55382.0,475,23,20233,33,辽宁省
5543,露仔与旭峰的日常,2528588,55342.82,2021,25,216249,2845,辽宁省
5544,橡树Plus男装,256099,55119.0,341,49,33561,125,辽宁省
5545,小包子,1853743,55039.42,669,4,47340,2012,辽宁省
5546,八家大小牛❤️,51349,54969.7,1110,23,25817,420,辽宁省
5547,惠普（HP）直播间,151151,54861.18,115,12,29567,94,辽宁省
5548,金大姐大码服装店,863490,54796.25,505,76,17574,39,辽宁省
5549,胖胖大码女装,276911,54724.3,838,70,65576,569,辽宁省
5550,象棋解说冯洪壮,101246,54632.73,940,28,7517,331,辽宁省
5551,小包子,1853743,54565.27,1113,4,25893,1756,辽宁省
5552,大连汉娜服饰,17424,54463.3,389,24,16728,289,辽宁省
5553,艾尚琳姐服装商行,289495,54373.07,487,63,26794,168,辽宁省
5554,五爱翟小丹服装批发商,206900,54191.7,556,27,60917,316,辽宁省
5555,文哥（治愈系-经典老歌）,44433,54145.97,850,73,717,44,辽宁省
5556,胖彩虹大码女装,141960,54137.3,1347,44,78533,552,辽宁省
5557,于小北,232396,54117.0,378,80,8749,148,辽宁省
5558,艾米妈妈服装承蒙厚爱,1486168,54083.56,1413,6,64111,1876,辽宁省
5559,良品宜刻美食泡菜,107592,54071.55,4485,80,101156,841,辽宁省
5560,厨匠东哥,5037537,54042.42,1520,31,85166,1271,辽宁省
5561,衣璇儿,110618,53983.1,458,25,11163,147,辽宁省
5562,爱慕内衣概念店,75288,53942.0,206,25,12985,39,辽宁省
5563,Lia家的工厂(浩宸服装),30053,53842.0,527,23,12325,327,辽宁省
5564,埃诺缇服饰,56072,53802.0,345,38,24808,205,辽宁省
5565,渔大叔零食店,5993,53724.11,729,19,8369,75,辽宁省
5566,一支玉镯,32787,53705.2,862,1419,52837,182,辽宁省
5567,艾尚琳姐服装商行,289495,53694.46,471,60,24363,191,辽宁省
5568,皇家贵夫人皮草商行,242808,53640.0,5,26,6690,57,辽宁省
5569,一支玉镯,32787,53616.5,820,1355,50902,223,辽宁省
5570,八家大小牛❤️,51349,53579.3,1017,21,25945,443,辽宁省
5571,鸿玛露熙服装店,188310,53480.0,420,33,66693,58,辽宁省
5572,博士晴妈(早7:30直播启蒙方法),605471,53451.0,249,3,13458,432,辽宁省
5573,韠瑩韠靌,5497,53346.52,612,11,256181,986,辽宁省
5574,小鑫鑫轻奢服饰,317787,53258.5,417,22,60340,831,辽宁省
5575,小東•户外,361362,53237.9,199,64,13334,25,辽宁省
5576,石大妞大米,780905,53211.5,1363,17,49292,583,辽宁省
5577,小费的书,172301,53046.96,701,29,40794,2973,辽宁省
5578,FILA斐乐服饰旗舰店,42757,53035.0,90,58,30049,136,辽宁省
5579,FILA斐乐服饰旗舰店,42757,53029.0,86,52,29761,137,辽宁省
5580,转果优品3号直播间,29104,52936.36,56,35,8105,95,辽宁省
5581,无氧美体健身❤️肖然,262594,52881.42,1133,46,18059,1250,辽宁省
5582,Cc原创皮草（晚八点直播）,108325,52879.76,96,90,12095,197,辽宁省
5583,艾米妈妈服装承蒙厚爱,1486168,52808.0,182,3,46363,2053,辽宁省
5584,丹尼斯裤业商行,103664,52685.0,450,24,15913,31,辽宁省
5585,大新电路,625455,52675.0,170,10,30444,826,辽宁省
5586,大连范范严选服饰,22744,52674.0,570,44,21343,298,辽宁省
5587,蔡龙麟,187933,52602.38,173,14,29069,1097,辽宁省
5588,滕宇装修材料,525899,52573.96,161,39,16594,1026,辽宁省
5589,唐唐轻奢品牌男鞋,29280,52518.0,331,5,25227,725,辽宁省
5590,新隆嘉生鲜,124034,52454.8,1383,37,62803,1343,辽宁省
5591,奥莱李经理和魏经理,35446,52415.0,365,6,6852,1048,辽宁省
5592,海波精品男装,66663,52202.0,247,52,62069,114,辽宁省
5593,海洋演义小胖,40389,52060.7,744,24,36080,161,辽宁省
5594,参小妹海参心选,48390,51985.0,44,6,3834,32,辽宁省
5595,小鑫鑫轻奢服饰,317787,51948.0,345,12,52860,570,辽宁省
5596,润尧尧大码女装,116834,51884.0,1041,49,24602,49,辽宁省
5597,晴晴🎀好物分享¹¹⁷,3476,51753.44,2051,100,584,302,辽宁省
5598,大连汉娜服饰,17424,51727.4,406,37,18798,376,辽宁省
5599,董二胖海参优选,28835,51674.0,48,7,4994,57,辽宁省
5600,你好邱小姐,25873,51594.0,484,44,45973,207,辽宁省
5601,VIVIT精品男裤工厂店,69892,51554.0,303,19,28669,59,辽宁省
5602,艾米妈妈服装承蒙厚爱,1486168,51518.0,182,3,35299,1249,辽宁省
5603,大连旅顺小动保LAPA,1319621,51513.44,932,29,28263,563,辽宁省
5604,大春天女装（春款大量上新）,89922,51149.34,366,73,15759,210,辽宁省
5605,大肥弟媳妇,30572,51060.48,259,17,13457,176,辽宁省
5606,林美服装搭配,17643,51056.94,196,35,8470,252,辽宁省
5607,大维大码女装批发商行,627959,51026.63,524,61,36628,123,辽宁省
5608,潮秀儿大码女装,147733,51005.0,1064,39,61535,175,辽宁省
5609,一战x联名,182461,50940.81,837,79,29157,1534,辽宁省
5610,一只胖右右,871713,50878.09,1627,50,83752,3528,辽宁省
5611,峰尚男装Studio.,32333,50796.9,697,47,18177,71,辽宁省
5612,门大美（门静）,315083,50756.58,1724,83,25895,728,辽宁省
5613,想想奢品严选,2715,50727.0,13,19,4603,86,辽宁省
5614,美酒祺祺,4846,50711.07,226,10,43351,7885,辽宁省
5615,Ami_小喜宅,254979,50671.0,135,26,7030,193,辽宁省
5616,凯格优品,28259,50609.6,2238,105,28192,1526,辽宁省
5617,鸿玛露熙服装店,188310,50384.0,416,34,47144,59,辽宁省
5618,井迪儿,6933223,50379.0,284,56,589272,19371,辽宁省
5619,Cc原创皮草（晚八点直播）,108325,50354.0,129,58,13432,169,辽宁省
5620,潘大美大码服装,97766,50227.7,983,32,65276,1272,辽宁省
5621,金圣拉布拉多,121805,50225.2,215,11,3588,155,辽宁省
5622,云晰日本商品进口商,171434,50086.27,308,63,9712,432,辽宁省
5623,大连范范严选服饰,22744,50073.0,385,47,16549,162,辽宁省
5624,大连元丰供应链,130901,50007.4,1824,58,40403,187,辽宁省
5625,不潮答案,42334,49979.4,650,34,117498,2294,辽宁省
5626,云晰日本商品进口商,171434,49917.6,328,63,26807,722,辽宁省
5627,云墨轩书画院（老张）,93753,49876.4,69,54,5889,102,辽宁省
5628,石大妞大米,780905,49850.4,1407,17,39520,546,辽宁省
5629,小曹名表,268878,49777.66,157,22,22155,1930,辽宁省
5630,静姐大码女装,452895,49771.58,555,83,14841,36,辽宁省
5631,文哥（治愈系-经典老歌）,44433,49754.1,780,73,952,52,辽宁省
5632,小凯迪迪卡兹克折扣店,55265,49604.0,116,211,22568,722,辽宁省
5633,二妹微胖定制女装,41338,49546.37,1429,16,72531,707,辽宁省
5634,二莹子吃货巴黎衣馆,99032,49441.42,1368,103,23187,322,辽宁省
5635,晨邦电脑,86166,49287.4,17,58,5765,50,辽宁省
5636,雪糕皮草,29139,49270.97,173,10,31466,561,辽宁省
5637,旭老板轻奢男装,11186,49269.4,1373,13,48292,202,辽宁省
5638,星海严选,90514,49268.43,1724,93,27312,215,辽宁省
5639,大连元丰供应链,130901,49262.7,1720,58,38708,201,辽宁省
5640,八家子柚子哥水果,30810,49255.44,1086,17,16714,466,辽宁省
5641,启航瓷器,12073,49253.0,142,154,8868,171,辽宁省
5642,超级宝贝JoJo,3329687,49242.2,341,71,98409,124,辽宁省
5643,想想奢品严选,2715,49159.0,11,39,3657,68,辽宁省
5644,衣璇儿,110618,49103.89,487,45,11193,199,辽宁省
5645,文哥（治愈系-经典老歌）,44433,49062.79,763,73,857,43,辽宁省
5646,YF大码女装,83753,49043.2,566,42,30181,168,辽宁省
5647,张大美大码女装,127964,49030.1,1273,35,80901,749,辽宁省
5648,拿铁笛子,518129,49005.47,1569,38,186614,7983,辽宁省
5649,dbj_2021,71291,48993.0,7,1,39986,2764,辽宁省
5650,灯塔市佟二堡胖姐服装2,37051,48888.0,12,7,6570,55,辽宁省
5651,小鑫鑫轻奢服饰,317787,48701.5,279,12,62414,585,辽宁省
5652,丹尼斯裤业商行,103664,48689.0,417,19,16176,55,辽宁省
5653,云晰日本商品进口商,171434,48626.0,300,55,16814,580,辽宁省
5654,星海严选,90514,48509.76,1496,91,21120,239,辽宁省
5655,OFF AIR 潮鞋,127735,48504.65,110,90,23006,165,辽宁省
5656,网红声卡调音师陈月竹,228667,48500.33,5,13,7540,195,辽宁省
5657,小费的书,172301,48313.3,556,23,37995,2867,辽宁省
5658,罗技（Logitech）直播间,7597,48303.83,114,45,21930,55,辽宁省
5659,凯伦煜龙家居,382581,48235.89,280,69,29797,608,辽宁省
5660,转果优品3号直播间,29104,48228.2,62,45,7054,104,辽宁省
5661,胖大点大码女装,44559,48211.7,780,49,48389,212,辽宁省
5662,凯伦煜龙家居,382581,48117.77,231,115,30276,808,辽宁省
5663,虎妈,590710,48031.11,2345,98,25200,51,辽宁省
5664,1+1严选,1127,47920.44,1331,99,2810,129,辽宁省
5665,小曹名表,268878,47835.66,139,23,18163,955,辽宁省
5666,宝金丽大码女装商行,125380,47823.35,454,66,15935,177,辽宁省
5667,鸿玛露熙服装店,188310,47808.0,402,33,51373,63,辽宁省
5668,峰哥精品男装,34657,47720.0,134,56,53532,158,辽宁省
5669,拿铁笛子,518129,47653.83,1432,38,104947,2941,辽宁省
5670,叮咚服饰（晚7点直播),14379,47582.0,162,19,30254,142,辽宁省
5671,良品宜刻美食泡菜,107592,47568.15,3407,78,98196,960,辽宁省
5672,胖琪琪欧韩时尚大码女装,282606,47488.31,475,71,23584,163,辽宁省
5673,星海严选,90514,47390.03,1925,100,34263,240,辽宁省
5674,雷百万的烤肉,200030,47222.1,294,24,41089,558,辽宁省
5675,黑人牙膏官方旗舰店,51755,47183.3,970,16,37245,119,辽宁省
5676,冠衣商贸（每天中午1点开播）,89988,47173.1,740,17,13040,456,辽宁省
5677,小吉祥百货,738893,47085.93,2470,44,7810,25,辽宁省
5678,老杨故事会,74532,47071.47,1952,100,1566,30,辽宁省
5679,一直都在低卡博士,145305,47040.0,2155,32,24965,163,辽宁省
5680,果爸书书(中午12:00直播）,35057,47034.93,252,100,2995,75,辽宁省
5681,流云小哥儿（鸡爪哥）,171421,46947.17,703,36,10463,50,辽宁省
5682,佟二堡大美家服饰,148739,46888.51,9,2,5959,45,辽宁省
5683,沈阳playstation嘉馨电子,8928,46845.0,12,71,6044,41,辽宁省
5684,芯婷奢侈品,2300,46727.0,13,56,2217,65,辽宁省
5685,凯格优品,28259,46724.17,1388,102,18482,1136,辽宁省
5686,民间故事-晴天,53168,46721.94,2315,99,2242,32,辽宁省
5687,晨泉楼阑服饰董事长沈丽,196685,46713.1,2200,23,45117,2065,辽宁省
5688,大宁折扣仓,6068,46641.67,1557,92,28758,133,辽宁省
5689,大肥弟媳妇,30572,46624.02,200,17,16984,237,辽宁省
5690,MGM米果妈童装精选（宠粉秒发货）,60303,46622.1,2042,49,22740,521,辽宁省
5691,虎妈,590710,46604.23,2204,97,24046,60,辽宁省
5692,润尧尧大码女装,116834,46586.3,929,38,24083,50,辽宁省
5693,灯塔市佟二堡胖姐服装2,37051,46578.0,22,7,7267,77,辽宁省
5694,小凯迪迪卡兹克折扣店,55265,46543.0,107,242,24080,502,辽宁省
5695,胖彩虹大码女装,141960,46532.3,1237,46,69539,325,辽宁省
5696,胖多鱼服饰,146593,46456.95,592,68,66394,1247,辽宁省
5697,你好！美女,1529913,46369.6,273,19,20405,1699,辽宁省
5698,胖胖大码女装,276911,46317.8,800,59,51812,549,辽宁省
5699,多宝宠物用品,33599,46262.15,480,68,4567,13,辽宁省
5700,抖潮品原创皮草（每晚八点直播）,99649,46219.66,60,107,8044,121,辽宁省
5701,沈阳市五爱服装城刘雪锋服装,238528,46099.0,301,45,8890,18,辽宁省
5702,静姐大码女装,452895,46092.48,524,85,17739,24,辽宁省
5703,胖彩虹大码女装,141960,46047.1,1229,38,77902,399,辽宁省
5704,古田森女装牛仔裤(沈阳直播间),96787,46033.0,257,31,23167,146,辽宁省
5705,艾尚琳姐服装商行,289495,46029.57,403,37,17229,142,辽宁省
5706,老五潮鞋,271654,45960.0,240,55,24994,63,辽宁省
5707,小费的书,172301,45817.8,375,19,44973,2139,辽宁省
5708,大宝【排雷班】,59402,45784.92,822,94,6049,19,辽宁省
5709,凯格优品,28259,45741.82,2322,98,33361,1697,辽宁省
5710,维亿大牌女装,36196,45697.8,604,269,105562,2525,辽宁省
5711,灯塔市佟二堡胖姐服装2,37051,45689.0,11,7,6152,67,辽宁省
5712,小猩猩手工,51876,45662.97,2314,42,127542,1768,辽宁省
5713,象棋解说冯洪壮,101246,45536.53,535,20,4548,188,辽宁省
5714,慧雯儿微胖大码定制,177570,45451.7,493,21,17427,128,辽宁省
5715,二莹子吃货巴黎衣馆,99032,45430.08,1289,112,18380,180,辽宁省
5716,小鑫鑫轻奢服饰,317787,45274.0,260,15,45568,988,辽宁省
5717,海波精品男装,66663,45239.0,229,50,47673,126,辽宁省
5718,1+1严选,1127,45216.52,1119,96,1411,36,辽宁省
5719,吃货驾到,6124,45213.43,3245,107,54152,141,辽宁省
5720,海王男装,12105,45175.16,513,21,25595,153,辽宁省
5721,小宇讲帝舵,10117,45136.0,5,100,10006,29,辽宁省
5722,胖胖大码衣橱,18225,45121.8,652,17,43789,204,辽宁省
5723,胖琪琪欧韩时尚大码女装,282606,45107.01,440,69,12612,83,辽宁省
5724,王小花要逆袭🌺,30396,45074.12,1980,63,12233,327,辽宁省
5725,晨邦电脑,86166,45065.2,28,60,7716,49,辽宁省
5726,佟二堡大美家服饰,148739,45050.25,11,2,8325,32,辽宁省
5727,丹尼斯裤业商行,103664,45005.0,385,23,16941,40,辽宁省
5728,小吉祥百货,738893,44905.87,1498,58,9113,25,辽宁省
5729,王小花要逆袭🌺,30396,44725.63,1895,60,10515,435,辽宁省
5730,古韵万像(回流),2512,44668.6,23,9,949,13,辽宁省
5731,爱慕内衣概念店,75288,44666.0,174,26,10074,45,辽宁省
5732,Renew Vintage,9191,44659.0,14,32,6566,141,辽宁省
5733,为实,315200,44631.13,987,108,7726,40,辽宁省
5734,多宝宠物用品,33599,44601.01,482,70,3788,12,辽宁省
5735,小曹名表,268878,44567.66,102,25,16246,678,辽宁省
5736,大宁LEDS,114182,44525.1,863,20,16500,750,辽宁省
5737,董二胖海参优选,28835,44470.0,42,6,7321,75,辽宁省
5738,太阳花,231815,44436.01,673,38,23168,657,辽宁省
5739,花间事,27067,44364.8,184,175,6836,95,辽宁省
5740,小曹名表,268878,44354.66,159,17,19073,2709,辽宁省
5741,铭姐箱包,209693,44352.0,264,11,16408,42,辽宁省
5742,衣璇儿,110618,44319.97,615,78,57051,733,辽宁省
5743,阿亮男装工作室,79424,44289.26,545,23,18370,85,辽宁省
5744,静姐大码女装,452895,44284.62,512,87,11444,29,辽宁省
5745,一只胖右右,871713,44089.04,1521,45,77354,2680,辽宁省
5746,雪糕皮草,29139,44063.99,154,10,30099,564,辽宁省
5747,一只胖右右,871713,44051.19,1710,48,65837,3414,辽宁省
5748,肉肉卡麦酱,857457,44031.76,260,28,11926,464,辽宁省
5749,三姐轻奢大码女装,14474,43893.4,375,28,23971,1075,辽宁省
5750,养喵的小花,440746,43875.81,564,72,6438,132,辽宁省
5751,大肥弟媳妇,30572,43838.54,227,17,12874,307,辽宁省
5752,金大姐大码服装店,863490,43768.3,417,56,12422,41,辽宁省
5753,二莹子吃货巴黎衣馆,99032,43761.25,1437,109,20379,218,辽宁省
5754,太平鸟 女装 直播间,49352,43712.0,374,99,32306,114,辽宁省
5755,小侯在努力❤️,112854,43643.26,389,43,30346,442,辽宁省
5756,大左有事说,504921,43625.0,23,17,2214,70,辽宁省
5757,米屋-日淘杂货铺2号店,35658,43608.4,971,265,16424,437,辽宁省
5758,启航瓷器,12073,43588.0,141,137,6845,181,辽宁省
5759,@静静,595914,43560.9,189,41,37919,194,辽宁省
5760,小凯迪迪卡兹克折扣店,55265,43522.0,98,156,17307,525,辽宁省
5761,果爸书书(中午12:00直播）,35057,43512.16,223,105,4400,90,辽宁省
5762,网红声卡调音师陈月竹,228667,43492.0,8,13,14555,237,辽宁省
5763,一支玉镯,32787,43392.8,723,1367,42228,166,辽宁省
5764,虎妈,590710,43287.58,2143,99,23419,49,辽宁省
5765,乔乔妈水果,64879,43236.6,1103,57,15420,412,辽宁省
5766,集品堂海参工厂店,13273,43219.2,41,10,6183,17,辽宁省
5767,你好！美女,1529913,43207.05,467,17,39803,2423,辽宁省
5768,大春天女装（春款大量上新）,89922,43145.67,275,58,12369,177,辽宁省
5769,老幺放映室,3748,43120.33,964,59,739,13,辽宁省
5770,剪刀艺术家,13537,43007.0,488,10,19147,254,辽宁省
5771,俊依服饰店,221144,42899.81,656,49,14343,42,辽宁省
5772,八家子李金龙【果到达】,159858,42828.71,1040,27,22158,236,辽宁省
5773,金大姐大码服装店,863490,42828.34,400,64,11859,33,辽宁省
5774,老杨珠宝玉器,237117,42819.8,181,287,36960,233,辽宁省
5775,小鑫鑫轻奢服饰,317787,42815.7,237,11,42920,559,辽宁省
5776,左凤琴的快乐生活,529694,42807.0,935,25,10803,347,辽宁省
5777,美食有约-小昊,798316,42800.66,2674,64,88987,7961,辽宁省
5778,派派的儿子小赵儿,3346773,42755.95,1266,104,20041,477,辽宁省
5779,丽姐大码穿搭,242144,42732.0,434,36,6887,19,辽宁省
5780,石大妞大米,780905,42699.5,1240,18,29197,439,辽宁省
5781,鸿玛露熙服装店,188310,42661.0,369,21,51487,38,辽宁省
5782,@静静,595914,42660.9,218,40,42540,205,辽宁省
5783,桃李面包,1179715,42593.45,1735,25,58801,902,辽宁省
5784,一支玉镯,32787,42471.5,533,1311,36432,184,辽宁省
5785,大新电路,625455,42470.0,137,5,31985,764,辽宁省
5786,凯格优品,28259,42395.52,1366,97,16295,837,辽宁省
5787,抖哥女装服饰,52391,42370.0,166,35,40831,97,辽宁省
5788,八家子李金龙【果到达】,159858,42310.3,963,25,20055,178,辽宁省
5789,拿铁笛子,518129,42223.24,1274,36,50503,2112,辽宁省
5790,芳姐美食（空气炸锅）,16056,42198.56,1498,70,26481,746,辽宁省
5791,丫丫轻奢女装,29888,42177.9,449,28,77449,166,辽宁省
5792,拿铁笛子,518129,42121.95,1331,36,120277,3382,辽宁省
5793,八家子丹丹鲜果精品行,122509,42053.37,597,32,8770,109,辽宁省
5794,民间故事-晴天,53168,42047.22,2069,99,1104,37,辽宁省
5795,小吉祥百货,738893,42035.96,1799,59,6658,20,辽宁省
5796,大维大码女装批发商行,627959,42033.64,467,59,40086,140,辽宁省
5797,保税区一枝花进口商品商行,20893,41943.84,949,110,15836,164,辽宁省
5798,小吉祥百货,738893,41892.19,1538,43,8120,19,辽宁省
5799,宝金丽大码女装商行,125380,41843.05,402,69,15446,212,辽宁省
5800,无氧美体健身❤️肖然,262594,41839.01,678,46,19489,1425,辽宁省
5801,VIVIT精品男裤工厂店,69892,41760.0,245,19,20757,58,辽宁省
5802,艾尚琳姐服装商行,289495,41746.39,396,49,18906,144,辽宁省
5803,哈尼妹贸易,12778,41728.13,1619,69,13871,279,辽宁省
5804,晓明 【排雷班】,120770,41691.93,1105,107,12123,68,辽宁省
5805,转果优品3号直播间,29104,41654.0,11,35,2946,75,辽宁省
5806,艾米妈妈服装承蒙厚爱,1486168,41631.0,139,3,24948,2106,辽宁省
5807,慧雯儿微胖大码定制,177570,41597.6,454,21,16030,102,辽宁省
5808,尚凡推荐官,363129,41535.0,164,22,27685,200,辽宁省
5809,小费的书,172301,41515.04,649,24,39239,2975,辽宁省
5810,古田森女装牛仔裤(沈阳直播间),96787,41480.0,244,31,27184,807,辽宁省
5811,晨邦电脑,86166,41421.53,37,56,5620,51,辽宁省
5812,尚凡推荐官,363129,41341.0,139,25,18539,296,辽宁省
5813,峰哥精品男装,34657,41315.0,116,56,53599,211,辽宁省
5814,铭姐箱包,209693,41311.5,249,11,15764,54,辽宁省
5815,艾米妈妈服装承蒙厚爱,1486168,41288.0,142,3,48815,3978,辽宁省
5816,小吉祥百货,738893,41264.96,1355,41,10839,30,辽宁省
5817,美彤-二奢严选,3332,41261.0,9,55,8002,110,辽宁省
5818,晟洋服饰批发号,27303,41240.08,137,49,34460,149,辽宁省
5819,金鑫领读,544323,41233.8,146,41,13453,974,辽宁省
5820,快来请小公举吃肉💍,4896705,41221.43,904,28,50500,1351,辽宁省
5821,灯塔市佟二堡胖姐服装2,37051,41186.0,14,7,7496,82,辽宁省
5822,北皇海参精选,34210,41078.0,47,9,4243,30,辽宁省
5823,大 美【排雷班】,43977,41026.99,774,103,4163,13,辽宁省
5824,乔乔妈水果,64879,41003.8,994,50,10111,379,辽宁省
5825,暮色男裤,81943,40956.49,613,14,43237,139,辽宁省
5826,北皇海参精选,34210,40918.0,37,7,2603,67,辽宁省
5827,超级宝贝JoJo,3329687,40917.46,355,69,103615,130,辽宁省
5828,集品堂海参工厂店,13273,40912.37,40,10,6272,19,辽宁省
5829,胖胖大码女装,276911,40843.4,649,67,45869,228,辽宁省
5830,家里宝贝好物推荐,3422,40833.02,1122,138,896,551,辽宁省
5831,果真棒生鲜,103073,40810.98,476,21,30518,150,辽宁省
5832,肉肉卡麦酱,857457,40645.8,226,62,11254,359,辽宁省
5833,陵云服饰,47992,40634.6,296,17,9269,48,辽宁省
5834,南希晴儿大和服装,65107,40596.0,604,10,103452,2882,辽宁省
5835,流云小哥儿（鸡爪哥）,171421,40572.21,697,36,6658,23,辽宁省
5836,八家子柚子哥水果,30810,40570.69,957,17,14908,494,辽宁省
5837,流云小哥儿（鸡爪哥）,171421,40542.72,661,36,8088,25,辽宁省
5838,橡树Plus男装,256099,40459.0,221,35,16375,75,辽宁省
5839,宝金丽大码女装商行,125380,40414.13,418,79,17090,207,辽宁省
5840,大春天女装（春款大量上新）,89922,40411.9,255,59,15825,179,辽宁省
5841,桃李面包,1179715,40375.35,1927,28,87859,1337,辽宁省
5842,婷阳禄家纺,45661,40340.4,230,82,10145,158,辽宁省
5843,胖琪琪欧韩时尚大码女装,282606,40227.24,396,65,14219,115,辽宁省
5844,丽姐大码穿搭,242144,40064.33,414,38,11646,43,辽宁省
5845,肉肉卡麦酱,857457,40063.79,256,32,9810,531,辽宁省
5846,参小妹海参心选,48390,40000.0,43,5,7890,54,辽宁省
5847,冠衣商贸（每天中午1点开播）,89988,39943.5,527,20,13107,566,辽宁省
5848,热门杰纳时尚大码女装店,133031,39940.68,557,82,16666,92,辽宁省
5849,大肥弟媳妇,30572,39911.58,194,17,21854,198,辽宁省
5850,芯婷奢侈品,2300,39908.0,22,53,2920,70,辽宁省
5851,李狠｜NAZUO男装《1》店,55392,39895.8,369,48,21354,180,辽宁省
5852,海王男装,12105,39895.0,460,19,19286,105,辽宁省
5853,伊利姐【华嫂会】~分会长,430969,39879.63,345,16,26123,1171,辽宁省
5854,美爸（商行）,99554,39769.53,1324,79,37608,1510,辽宁省
5855,法柏兰女包,132379,39740.0,160,12,11746,68,辽宁省
5856,段段皮草教搭配,18470,39716.0,10,22,3361,37,辽宁省
5857,大颖姐的超市,107040,39698.93,1355,111,23425,187,辽宁省
5858,胖琪琪欧韩时尚大码女装,282606,39688.16,399,65,13126,85,辽宁省
5859,花间事,27067,39686.07,155,150,7331,117,辽宁省
5860,水王李大海,653831,39658.19,932,69,27659,459,辽宁省
5861,拿铁笛子,518129,39612.84,1088,38,180579,6572,辽宁省
5862,小丸子海外舶来品日本回流瓷器,24426,39557.3,1585,649,29055,427,辽宁省
5863,芳姐美食（空气炸锅）,16056,39522.49,1491,72,40436,654,辽宁省
5864,美亦舒泳衣,49360,39475.1,440,54,18132,106,辽宁省
5865,老张家那小子,269398,39437.14,1408,28,31250,1747,辽宁省
5866,胖胖大码女装,276911,39314.1,610,61,47317,219,辽宁省
5867,于老五夫妻(只减了160斤),141089,39308.53,1276,66,15090,572,辽宁省
5868,一只胖右右,871713,39278.3,1516,53,87351,3471,辽宁省
5869,胖琪琪欧韩时尚大码女装,282606,39272.93,379,66,20799,152,辽宁省
5870,阿拉卓大码女装每天早上5.50直播,304977,39262.9,632,51,34738,497,辽宁省
5871,领美和韵服装,707353,39252.0,247,12,71568,150,辽宁省
5872,王小花要逆袭🌺,30396,39207.7,1688,60,12415,488,辽宁省
5873,福筱默🛳️好物分享🌻（互）,7616,39194.26,1664,100,487,24,辽宁省
5874,领美和韵服装,707353,39175.0,131,12,26570,133,辽宁省
5875,五爱翟小丹服装批发商,206900,39110.3,406,27,53610,219,辽宁省
5876,大霖爸爸（靠谱）3月11号晚7点开播,78510,39061.1,699,21,18411,207,辽宁省
5877,八家子丹丹鲜果精品行,122509,39056.11,549,28,13565,107,辽宁省
5878,凯伦煜龙家居,382581,39029.67,359,68,40540,782,辽宁省
5879,胖胖琦潮牌大码女装店,24098,38997.63,914,35,36979,299,辽宁省
5880,1+1严选,1127,38974.66,1271,90,1774,54,辽宁省
5881,一只胖右右,871713,38972.34,1471,52,86781,3719,辽宁省
5882,圣王农场（丹东九九草莓）,22520,38923.35,243,2,5865,21,辽宁省
5883,果爸书书(中午12:00直播）,35057,38902.67,311,102,5128,100,辽宁省
5884,大 美【排雷班】,43977,38897.19,880,100,1875,23,辽宁省
5885,艾尚琳姐服装商行,289495,38890.56,350,62,14883,104,辽宁省
5886,美亦舒泳衣,49360,38878.97,444,56,22276,79,辽宁省
5887,大连范范严选服饰,22744,38859.0,320,60,21946,344,辽宁省
5888,小凯迪迪卡兹克折扣店,55265,38783.0,87,202,16794,378,辽宁省
5889,一雪狐一,699576,38761.5,236,35,7050,101,辽宁省
5890,金圣拉布拉多,121805,38757.2,170,11,2843,132,辽宁省
5891,厨匠东哥,5037537,38678.52,1111,23,51710,1061,辽宁省
5892,VIVIT精品男裤工厂店,69892,38676.0,227,19,24979,70,辽宁省
5893,妙道紫砂验证基地,16011,38676.0,25,46,1881,116,辽宁省
5894,东北大菠萝,50528,38662.84,2253,98,21728,397,辽宁省
5895,小叶仙茶叶［奥莱茶仓储］,21536,38638.5,299,17,6091,161,辽宁省
